Rose Tremain
Roxane Gay
Rumaan Alam
Sabaa Tahir
Sabrina Orah
Sally Field
Sally Rooney
Sam Anderson
Samin Nosrat
Samuel Corum
Sandie Jones
Sarah Andersen
Sarah Ardizzone
Sarah Bird
Sarah Gailey
Sarah Perry
Sarah Vaughan
Sara Khalili
Sara Kipin
Sayaka Murata
Scott Galloway
Sebastian Faulks
Shana Galen
Sharlene Teo
Shea Serrano
Sheila Heti
Shen Fever
Shobha Rao
Sigrid Nunez
Sisonke Msimang
SIX Financial
Sohui Kim
Soleida Ríos
Sophie Hannah
State That
Stephen Bernard
Stephen Brusatte
Stephen Hawking
Stephen Johnson
Stephen King
Stephen Markley
Steven Hyden
Steve Toutonghi
Sue Burke
Sue Klebold
Suzanne Jill
Tade Thompson
Taeko Kono
Tana French
Tara Westover
Tayari Jones
Tessa Fontaine
Theodora Goss
Therese Bohman
The Secret
The Slate
Thirii Myo
Tiffany Haddish
Tillie Walden
Tim Kreider
Timothy Pakron
Tina Brown
Tina Kover
Tomi Adeyemi
Tom McAllister
Tommy Orange
Tom Rachman
Tom Sweterlitsch
Uber CEO
Uzodinma Iweala
Vanessa Hua
Verónica Gerber
Victor Sebestyen
Wallace Stegner
Wayétu Moore
Wesley Yang
William Boyd
William Davies
William Gay
William Trevor
Yuval Noah
Yuyi Morales
Zadie Smith
